id,retweet_count,favorite_count
875747767867523072,3750,22902
875144289856114688,4298,19998
875097192612077568,5348,25040
875021211251597312,4145,23299
874680097055178752,4077,25388
874434818259525634,12750,0
874296783580663808,3634,23798
874057562936811520,3509,20760
874012996292530176,8976,31164
873580283840344065,3462,22141
873337748698140672,1391,0
873213775632977920,1391,6545
872967104147763200,4760,24883
872820683541237760,3280,13486
872620804844003328,3210,18968
872486979161796608,8030,37282
872122724285648897,7158,31316
871879754684805121,9653,34325
871762521631449091,3077,18498
871515927908634625,3065,18479
871166179821445120,5063,0
871102520638267392,4877,19170
871032628920680449,3368,20841
870804317367881728,5475,30807
870726314365509632,3,110
870656317836468226,2303,11248
870374049280663552,23657,76380
870308999962521604,3678,20109
870063196459192321,7373,33496
869772420881756160,9034,39170
869702957897576449,5587,25880
869596645499047938,2761,14680
869227993411051520,3345,18759
868880397819494401,12801,59988
868639477480148993,1830,0
868622495443632128,4702,24448
868552278524837888,1830,9270
867900495410671616,3732,22306
867774946302451713,6532,31272
867421006826221569,2224,14796
867072653475098625,106,0
867051520902168576,7052,29643
866720684873056260,4304,18413
866686824827068416,3090,17742
866450705531457537,31559,112622
866334964761202691,12750,48213
866094527597207552,7497,0
865718153858494464,5050,23727
865359393868664832,4492,24422
865006731092295680,6946,25886
864873206498414592,7803,29773
864279568663928832,2706,13498
864197398364647424,7927,27655
863907417377173506,3730,19087
863553081350529029,3781,14104
863471782782697472,2171,0
863432100342583297,4733,22018
863427515083354112,84,2029
863079547188785154,1001,8139
863062471531167744,2171,7789
862831371563274240,4633,17775
862722525377298433,3212,15857
862457590147678208,4441,18904
862096992088072192,20892,68656
861383897657036800,9690,33465
861288531465048066,3742,15921
861005113778896900,3463,15504
860981674716409858,1935,0
860924035999428608,708,0
860563773140209665,1935,6958
860524505164394496,4799,21998
860276583193509888,3196,17128
860184849394610176,5322,15484
860177593139703809,28034,0
859924526012018688,3722,18259
859851578198683649,3205,14405
859607811541651456,1410,17381
859196978902773760,27413,83536
859074603037188101,12454,31490
858860390427611136,7394,0
858843525470990336,3166,14583
858471635011153920,4445,20161
858107933456039936,2642,14710
857989990357356544,2364,15011
857746408056729600,9737,31955
857393404942143489,1497,5507
857263160327368704,4140,18824
857214891891077121,16,210
857062103051644929,154,0
857029823797047296,3647,17647
856543823941562368,2652,15344
856526610513747968,1730,11155
856330835276025856,615,0
856288084350160898,15,486
856282028240666624,5794,26053
855862651834028034,22,313
855860136149123072,894,4597
855857698524602368,1942,11189
855851453814013952,16725,43221
855818117272018944,5013,25091
855459453768019968,7596,28033
855245323840757760,5505,0
855138241867124737,39,0
854732716440526848,5613,21413
854482394044301312,6306,27524
854365224396361728,4346,17820
854120357044912130,6925,30216
854010172552949760,2921,15354
853760880890318849,5354,27012
853639147608842240,9294,32741
853299958564483072,3303,14658
852936405516943360,1853,0
852912242202992640,1677,8521
852672615818899456,2012,14147
852553447878664193,3248,15423
852311364735569921,9269,31421
852226086759018497,6370,18953
852189679701164033,1481,10906
851861385021730816,19,0
851591660324737024,3253,15479
851464819735769094,6603,23062
851224888060895234,5392,19692
850753642995093505,8481,29236
850380195714523136,2435,12490
850333567704068097,308,3294
850145622816686080,3543,15540
850019790995546112,4567,19455
849776966551130114,7122,28966
849668094696017920,4657,0
849412302885593088,2958,15166
849336543269576704,1770,10899
849051919805034497,7954,40427
848690551926992896,4079,24095
848324959059550208,4349,23642
848213670039564288,675,7811
848212111729840128,2838,15606
847978865427394560,3066,0
847971574464610304,416,0
847962785489326080,4791,22509
847842811428974592,1240,5182
847617282490613760,388,6686
847606175596138505,3231,17972
847251039262605312,4088,19640
847157206088847362,5503,19006
847116187444137987,3003,20583
846874817362120707,3706,19253
846514051647705089,10888,42690
846505985330044928,2900,13542
846153765933735936,8532,30240
846139713627017216,9557,29780
846042936437604353,2703,15336
845812042753855489,8217,28024
845677943972139009,4558,24205
845397057150107648,1684,7323
845306882940190720,5083,22405
845098359547420673,7238,0
844979544864018432,2412,13112
844973813909606400,2993,14431
844580511645339650,2943,15813
844223788422217728,2071,13146
843981021012017153,2805,14625
843856843873095681,4368,20681
843604394117681152,2589,16252
843235543001513987,5678,20706
842846295480000512,3451,14735
842765311967449089,1204,6481
842535590457499648,3333,17474
842163532590374912,5505,23549
842115215311396866,2876,13481
841833993020538882,14236,0
841680585030541313,7457,24873
841439858740625411,3483,12159
841320156043304961,5251,19110
841314665196081154,4407,15280
841077006473256960,5063,22058
840761248237133825,1674,0
840728873075638272,15255,0
840698636975636481,2,172
840696689258311684,923,11860
840632337062862849,1674,8695
840370681858686976,4337,15873
840268004936019968,5458,18583
839990271299457024,2162,12965
839549326359670784,7394,26489
839290600511926273,137,0
839239871831150596,6213,26180
838952994649550848,3824,19011
838921590096166913,1947,10770
838916489579200512,32,0
838831947270979586,10511,0
838561493054533637,1269,10613
838476387338051585,4533,21737
838201503651401729,9591,0
838150277551247360,318,1611
838085839343206401,1,136
838083903487373313,2970,17072
837820167694528512,7497,32980
837482249356513284,424,3739
837471256429613056,2158,12396
837110210464448512,2259,15557
836989968035819520,2198,12360
836753516572119041,4439,18776
836677758902222849,2123,12245
836648853927522308,531,0
836397794269200385,26314,0
836380477523124226,2868,14343
836260088725786625,4135,20677
836001077879255040,4086,18481
835685285446955009,7794,0
835574547218894849,3454,17270
835536468978302976,1613,0
835309094223372289,20052,0
835297930240217089,2858,15986
835264098648616962,1613,7485
835246439529840640,68,2047
835172783151792128,5522,25410
835152434251116546,2876,21721
834931633769889797,1555,10467
834786237630337024,5306,20845
834574053763584002,2413,13251
834477809192075265,10206,0
834458053273591808,1606,9343
834209720923721728,4545,19972
834167344700198914,3526,15383
834089966724603904,2049,9751
834086379323871233,2118,12690
833863086058651648,2309,13067
833826103416520705,3610,17622
833732339549220864,212,0
833722901757046785,3112,20307
833479644947025920,1958,14466
833124694597443584,4657,19663
832998151111966721,2114,12886
832769181346996225,38,0
832757312314028032,3479,16395
832682457690300417,2804,11540
832645525019123713,512,2847
832636094638288896,2677,15443
832397543355072512,2125,11647
832369877331693569,3066,16701
832273440279240704,2244,11042
832215909146226688,5991,0
832215726631055365,8963,0
832088576586297345,2,61
832040443403784192,9221,0
832032802820481025,4490,17370
831939777352105988,5904,23324
831926988323639298,34,325
831911600680497154,6257,26813
831670449226514432,1745,10157
831650051525054464,1853,6930
831552930092285952,2248,8738
831322785565769729,1494,9043
831315979191906304,1078,6363
831309418084069378,2377,11459
831262627380748289,1974,11581
830956169170665475,1433,7770
830583320585068544,16113,64933
830173239259324417,5462,0
830097400375152640,2823,9506
829878982036299777,4812,0
829861396166877184,1867,11936
829501995190984704,10206,30914
829449946868879360,1937,10197
829141528400556032,7079,23730
829011960981237760,15804,51990
828801551087042563,3302,0
828770345708580865,5646,24927
828708714936930305,10802,35570
828650029636317184,1292,9282
828409743546925057,1116,6202
828408677031882754,1242,7503
828381636999917570,2147,12284
828376505180889089,1032,7210
828372645993398273,2828,12274
828361771580813312,172,2130
828046555563323392,2759,11443
828011680017821696,2086,10103
827933404142436356,5068,19552
827653905312006145,2917,15119
827600520311402496,906,7286
827324948884643840,2923,15447
827199976799354881,2148,10319
826958653328592898,4812,21040
826848821049180160,9793,35305
826615380357632002,3848,0
826598799820865537,241,5012
826598365270007810,2270,9766
826476773533745153,4051,17959
826240494070030336,2523,12956
826204788643753985,884,4760
826115272272650244,3000,15276
825876512159186944,1795,10240
825829644528148480,2423,12459
825535076884762624,17023,55720
825147591692263424,4383,17855
825120256414846976,1209,0
825026590719483904,1209,6124
824796380199809024,5339,0
824775126675836928,3388,14571
824663926340194305,1708,10280
824325613288833024,10272,11553
824297048279236611,3727,14706
824025158776213504,581,4725
823939628516474880,2632,10406
823719002937630720,10813,0
823699002998870016,2438,13654
823581115634085888,2536,12724
823333489516937216,22,688
823322678127919110,3880,15378
823269594223824897,9593,0
822975315408461824,3340,16947
822872901745569793,41806,128585
822859134160621569,2197,12935
822647212903690241,6196,0
822610361945911296,2844,14481
822489057087389700,6196,17736
822462944365645825,13798,27287
822244816520155136,9593,34224
822163064745328640,4592,0
821886076407029760,2237,11067
821813639212650496,3269,0
821765923262631936,1614,8206
821522889702862852,1697,7863
821421320206483457,5393,0
821407182352777218,4181,11493
821153421864615936,10,247
821149554670182400,1893,8426
821107785811234820,2064,9396
821044531881721856,2210,12395
820837357901512704,6507,0
820749716845686786,9591,30879
820690176645140481,3137,11983
820494788566847489,547,0
820446719150292993,2487,0
820314633777061888,547,3281
820078625395449857,6109,19383
820013781606658049,1136,0
819952236453363712,1136,5208
819924195358416896,4740,12666
819711362133872643,3021,13107
819588359383371776,1941,9460
819347104292290561,1172,7077
819238181065359361,398,2209
819227688460238848,6507,22568
819015337530290176,36017,0
819015331746349057,18544,0
819006400881917954,18544,44495
819004803107983360,36017,85410
818646164899774465,20336,0
818627210458333184,7346,21969
818614493328580609,2455,9635
818588835076603904,5947,0
818536468981415936,2380,10635
818307523543449600,7828,0
818259473185828864,2188,10785
818145370475810820,2478,12030
817908911860748288,773,4759
817827839487737858,26314,50516
817777686764523521,2606,10542
817536400337801217,2863,11538
817502432452313088,3295,0
817423860136083457,14236,33084
817415592588222464,924,5489
817181837579653120,8206,0
817171292965273600,1966,8600
817120970343411712,2522,11973
817056546584727552,1594,8426
816829038950027264,4581,0
816816676327063552,1972,9802
816697700272001025,2134,9592
816450570814898180,7828,29784
816336735214911488,1893,8437
816091915477250048,2073,8763
816062466425819140,986,0
816014286006976512,5108,0
815990720817401858,986,4851
815966073409433600,8206,21940
815745968457060357,4020,0
815736392542261248,2210,9664
815639385530101762,1605,8063
815390420867969024,3712,10156
814986499976527872,1242,7517
814638523311648768,2635,11070
814578408554463233,5685,0
814530161257443328,1820,8477
814153002265309185,8450,28207
813944609378369540,3105,0
813910438903693312,1811,9150
813812741911748608,13618,35825
813800681631023104,1710,8177
813217897535406080,7123,18303
813202720496779264,1773,9074
813187593374461952,4233,19504
813172488309972993,1886,9105
813157409116065792,2145,7621
813142292504645637,2333,8345
813130366689148928,434,4415
813127251579564032,3034,11589
813112105746448384,2666,10122
813096984823349248,3537,10386
813081950185472002,2719,9733
813066809284972545,1901,7793
813051746834595840,7184,20587
812781120811126785,1856,7407
812709060537683968,1408,6505
812503143955202048,1191,5956
812466873996607488,1878,7831
812372279581671427,3578,13425
811985624773361665,1367,7141
811744202451197953,1551,7404
811647686436880384,720,5508
811627233043480576,2985,12515
811386762094317568,6239,20575
810984652412424192,1391,5220
810896069567610880,1721,8854
810657578271330305,2567,10776
810284430598270976,10968,34594
810254108431155201,3302,14465
809920764300447744,3848,15310
809808892968534016,4788,0
809448704142938112,1427,6839
809220051211603969,5462,19570
809084759137812480,3446,13006
808838249661788160,2974,9960
808733504066486276,2110,7770
808501579447930884,2551,11121
808344865868283904,20336,41780
808134635716833280,5775,0
808106460588765185,2156,8668
808001312164028416,3460,12321
807621403335917568,3532,14362
807106840509214720,54064,116079
807059379405148160,7161,0
807010152071229440,3787,12914
806629075125202948,33826,73333
806620845233815552,5402,0
806576416489959424,1914,4817
806542213899489280,2305,10050
806242860592926720,11369,0
806219024703037440,1171,6358
805958939288408065,5244,0
805932879469572096,1883,8173
805826884734976000,1781,6472
805823200554876929,7819,0
805520635690676224,1622,5667
805487436403003392,2476,8675
805207613751304193,1687,7722
804738756058218496,3744,13469
804475857670639616,1971,6048
804413760345620481,3160,0
804026241225523202,15753,43696
803773340896923648,2684,9900
803692223237865472,7283,0
803638050916102144,4064,10786
803380650405482500,1837,7641
803321560782307329,5191,0
803276597545603072,2406,9880
802952499103731712,1954,8889
802624713319034886,2841,0
802600418706604034,1424,6997
802572683846291456,2461,8816
802323869084381190,5722,15930
802265048156610565,1347,6832
802239329049477120,2571,8952
802185808107208704,268,0
801958328846974976,1677,7647
801854953262350336,233,1768
801538201127157760,2028,8110
801285448605831168,804,5946
801167903437357056,5775,24054
801127390143516673,3871,0
801115127852503040,2059,7952
800859414831898624,96,677
800855607700029440,1572,0
800751577355128832,2743,10418
800513324630806528,2939,12958
800459316964663297,2132,9363
800443802682937345,4213,0
800388270626521089,2753,10997
800188575492947969,3848,0
800141422401830912,2487,15044
800018252395122689,12856,27894
799774291445383169,4567,0
799757965289017345,2110,8261
799422933579902976,1886,7945
799308762079035393,5342,0
799297110730567681,2690,9722
799063482566066176,2430,7969
798933969379225600,4366,12876
798925684722855936,1414,7403
798705661114773508,6506,0
798701998996647937,7601,0
798697898615730177,6390,0
798694562394996736,4850,0
798686750113755136,2277,0
798682547630837760,4651,0
798673117451325440,5454,0
798665375516884993,3837,0
798644042770751489,1808,0
798628517273620480,1938,0
798585098161549313,5550,0
798576900688019456,5722,0
798340744599797760,3260,0
798209839306514432,2503,10259
797971864723324932,3039,11408
797545162159308800,4786,14347
797236660651966464,6425,19627
797165961484890113,26,223
796904159865868288,8738,0
796865951799083009,1886,7564
796759840936919040,2967,11619
796563435802726400,7067,0
796484825502875648,1719,7454
796387464403357696,4064,10833
796177847564038144,13972,0
796149749086875649,13972,31747
796125600683540480,1760,4898
796116448414461957,2353,8952
796080075804475393,2257,8329
796031486298386433,3650,10635
795464331001561088,23039,48708
795400264262053889,2799,9876
795076730285391872,5339,15949
794983741416415232,3296,0
794926597468000259,2267,10067
794355576146903043,10064,0
794332329137291264,2628,9456
794205286408003585,3254,9105
793962221541933056,4788,16564
793845145112371200,1815,9091
793614319594401792,3067,0
793601777308463104,1582,7864
793500921481273345,2328,10509
793286476301799424,8963,24202
793271401113350145,2347,8566
793256262322548741,8175,19673
793241302385262592,3233,10348
793226087023144960,2820,9662
793210959003287553,2742,8791
793195938047070209,5507,15023
793180763617361921,1957,6831
793165685325201412,2724,9238
793150605191548928,1665,6088
793135492858580992,2453,6301
793120401413079041,3828,12460
792913359805018113,3892,14085
792883833364439040,4174,11117
792773781206999040,1642,7245
792394556390137856,4211,13193
792050063153438720,1750,7021
791821351946420224,20646,0
791784077045166082,9341,0
791780927877898241,3742,0
791774931465953280,21690,44372
791672322847637504,3067,11570
791406955684368384,4020,12943
791312159183634433,2474,8621
791026214425268224,4007,0
790987426131050500,2086,9650
790946055508652032,4581,16400
790723298204217344,2257,0
790698755171364864,1881,8070
790581949425475584,6951,20313
790337589677002753,1850,7707
790277117346975746,3105,12355
790227638568808452,3479,0
789986466051088384,2257,9108
789960241177853952,4011,0
789903600034189313,4050,10174
789628658055020548,1727,7361
789599242079838210,1880,6635
789530877013393408,3296,11537
789314372632018944,2240,8502
789280767834746880,4814,0
789268448748703744,2558,8960
789137962068021249,2721,9545
788908386943430656,12207,26981
788765914992902144,10064,26873
788552643979468800,6986,0
788412144018661376,5145,15283
788178268662984705,2047,7115
788150585577050112,1251,6016
788070120937619456,3360,0
788039637453406209,1282,6023
787810552592695296,2980,8482
787717603741622272,2711,10088
787397959788929025,2787,10719
787322443945877504,1699,7662
787111942498508800,6592,0
786963064373534720,7794,26186
786729988674449408,2377,0
786709082849828864,5991,17954
786664955043049472,2473,10400
786595970293370880,3061,9307
786363235746385920,3391,10698
786286427768250368,2767,7835
786233965241827333,4592,14975
786051337297522688,153,1398
786036967502913536,6811,0
785927819176054784,3114,11200
785872687017132033,1757,6591
785639753186217984,2189,7732
785533386513321988,1942,8934
785515384317313025,1226,6012
785264754247995392,1588,7139
785170936622350336,4712,11818
784826020293709826,3160,9922
784517518371221505,2463,8816
784431430411685888,1239,5629
784183165795655680,7819,19677
784057939640352768,10813,29192
783839966405230592,10511,29415
783821107061198850,1912,7235
783695101801398276,3128,10262
783466772167098368,2171,8284
783391753726550016,5318,16570
783347506784731136,5393,0
783334639985389568,11369,28550
783085703974514689,2136,8011
782969140009107456,7161,23679
782747134529531904,1377,7326
782722598790725632,5244,16928
782598640137187329,1830,7658
782305867769217024,5393,16325
782021823840026624,6027,0
781955203444699136,3277,10927
781661882474196992,2639,10233
781655249211752448,1104,3915
781524693396357120,5402,20341
781308096455073793,2490,7000
781251288990355457,2016,8232
781163403222056960,2684,9604
780931614150983680,7067,21192
780858289093574656,1956,7055
780800785462489090,1261,5367
780601303617732608,3269,11850
780543529827336192,1698,6166
780496263422808064,3566,0
780476555013349377,109,0
780459368902959104,1045,5181
780192070812196864,2180,8522
780092040432480260,2232,0
780074436359819264,4805,11877
779834332596887552,6811,18463
779377524342161408,3014,8578
779124354206535695,17752,0
779056095788752897,4387,14433
778990705243029504,6967,19508
778774459159379968,9584,0
778764940568104960,353,845
778748913645780993,1266,6711
778650543019483137,1449,5626
778624900596654080,983,4505
778408200802557953,4181,13327
778396591732486144,11850,0
778383385161035776,1065,5691
778286810187399168,3200,10135
778039087836069888,2564,8295
778027034220126208,1557,6400
777953400541634568,3414,0
777885040357281792,1581,6218
777684233540206592,2841,10976
777641927919427584,4097,0
777621514455814149,2439,8529
777189768882946048,4186,13909
776819012571455488,13269,0
776813020089548800,1170,4774
776477788987613185,2681,8600
776249906839351296,8834,0
776218204058357768,15345,29146
776201521193218049,2443,9352
776113305656188928,4213,11495
776088319444877312,147,1789
775898661951791106,16256,0
775842724423557120,2577,11424
775733305207554048,3871,13555
775729183532220416,4468,12689
775364825476165632,2859,7208
775350846108426240,3790,9911
775085132600442880,4567,15167
774757898236878852,1730,8401
774639387460112384,1678,6576
774314403806253056,5342,21255
773985732834758656,3737,10483
773922284943896577,1694,6249
773704687002451968,1566,6439
773670353721753600,1271,5214
773547596996571136,5947,21581
773336787167145985,4885,0
773308824254029826,7238,22745
773247561583001600,3154,9237
773191612633579521,4004,9763
772877495989305348,3748,8342
772826264096874500,2283,7837
772615324260794368,3275,0
772581559778025472,1653,6326
772193107915964416,1340,5863
772152991789019136,1101,3713
772117678702071809,716,3669
772114945936949249,457,2664
772102971039580160,905,3906
771908950375665664,1823,6399
771770456517009408,3260,11691
771500966810099713,2524,8061
771380798096281600,4885,10237
771171053431250945,7195,0
771136648247640064,2831,8920
771102124360998913,1392,6071
771014301343748096,1604,6723
770787852854652928,1164,4807
770772759874076672,1374,5050
770655142660169732,1729,7163
770414278348247044,2026,6166
770293558247038976,1418,6056
770093767776997377,2944,0
770069151037685760,2224,7398
769940425801170949,9221,30441
769695466921623552,1631,6261
769335591808995329,7481,0
769212283578875904,1656,5248
768970937022709760,6274,13918
768909767477751808,2589,0
768855141948723200,860,4074
768609597686943744,1157,3997
768596291618299904,1238,4906
768554158521745409,5636,0
768473857036525572,3297,13252
768193404517830656,3414,10589
767884188863397888,1329,4634
767754930266464257,5191,15570
767500508068192258,2266,7304
767191397493538821,3627,11966
767122157629476866,2761,9914
766864461642756096,5421,0
766793450729734144,1316,4909
766714921925144576,362,2537
766693177336135680,771,3907
766423258543644672,1528,5844
766313316352462849,1817,6599
766078092750233600,2535,0
766069199026450432,819,4109
766008592277377025,481,3657
765719909049503744,2091,7042
765669560888528897,1193,5040
765395769549590528,3274,25996
765371061932261376,2096,6880
765222098633691136,3275,11328
764857477905154048,1722,6286
764259802650378240,1452,5853
763956972077010945,52,744
763837565564780549,4007,12211
763183847194451968,1424,5218
763167063695355904,2903,0
763103485927849985,2228,7174
762699858130116608,3479,11790
762471784394268675,6186,10919
762464539388485633,4011,10011
762316489655476224,1079,4656
762035686371364864,14955,30920
761976711479193600,1925,5254
761750502866649088,3764,0
761745352076779520,834,4156
761672994376806400,28034,47987
761599872357261312,1149,4004
761371037149827077,17427,0
761334018830917632,1404,5034
761292947749015552,1051,4362
761227390836215808,1515,5187
761004547850530816,3360,11032
760893934457552897,931,3708
760656994973933572,1840,6404
760641137271070720,1248,4837
760539183865880579,3496,7355
760521673607086080,1344,4088
760290219849637889,11067,26019
760252756032651264,840,3835
760190180481531904,1734,5535
760153949710192640,30,0
759943073749200896,2006,5769
759923798737051648,5421,14257
759846353224826880,1898,6542
759793422261743616,1843,5789
759557299618865152,1150,4548
759447681597108224,2377,8249
759446261539934208,469,1621
759197388317847553,1880,5903
759159934323924993,1116,0
759099523532779520,3997,14074
759047813560868866,1930,6281
758854675097526272,873,3446
758828659922702336,3708,10877
758740312047005698,1561,5572
758474966123810816,958,3683
758467244762497024,2132,4653
758405701903519748,1840,5051
758355060040593408,1022,3276
758099635764359168,9584,18444
758041019896193024,358,2618
757741869644341248,3148,6666
757729163776290825,7605,0
757725642876129280,1167,4406
757611664640446465,1055,4435
757597904299253760,289,0
757596066325864448,1020,4217
757400162377592832,6583,14676
757393109802180609,1668,5636
757354760399941633,1364,4378
756998049151549440,1912,6088
756939218950160384,1925,6433
756651752796094464,1246,4889
756526248105566208,3456,10092
756303284449767430,1065,3818
756288534030475264,17052,42730
756275833623502848,1473,6189
755955933503782912,2755,7083
755206590534418437,5141,15932
755110668769038337,10676,20523
754874841593970688,7597,0
754856583969079297,2413,6677
754747087846248448,499,2506
754482103782404096,1880,5123
754449512966619136,706,3626
754120377874386944,2261,7641
753655901052166144,2091,5655
753420520834629632,3413,7619
753398408988139520,1821,5551
753375668877008896,2232,7398
753298634498793472,5459,0
753294487569522689,1001,3253
753039830821511168,20052,35917
753026973505581056,919,3799
752932432744185856,6592,12203
752917284578922496,1511,6726
752701944171524096,2754,0
752682090207055872,1531,5824
752660715232722944,1499,4236
752568224206688256,2187,5314
752519690950500352,3310,7130
752334515931054080,1058,3701
752309394570878976,15568,0
752173152931807232,1757,5765
751950017322246144,875,2967
751937170840121344,1261,5020
751830394383790080,1872,5634
751793661361422336,2778,5615
751598357617971201,2932,7697
751583847268179968,1054,4252
751538714308972544,1203,4879
751456908746354688,963,3110
751251247299190784,5626,12138
751205363882532864,1740,6115
751132876104687617,1251,4902
750868782890057730,1310,4618
750719632563142656,4814,12729
750506206503038976,1103,4300
750429297815552001,4097,12754
750383411068534784,1096,4404
750381685133418496,27,672
750147208377409536,923,3006
750132105863102464,1238,3496
750117059602808832,1258,4202
750101899009982464,809,2941
750086836815486976,514,2098
750071704093859840,3181,7558
750056684286914561,865,3059
750041628174217216,585,3063
750026558547456000,757,2630
750011400160841729,867,3119
749996283729883136,786,2954
749981277374128128,2373,4938
749774190421639168,1272,4519
749417653287129088,1574,5904
749403093750648834,507,2522
749395845976588288,3291,8275
749317047558017024,2148,5301
749075273010798592,1985,5558
749064354620928000,1469,4649
749036806121881602,762,2994
748977405889503236,3259,10410
748932637671223296,2157,5594
748705597323898880,917,2684
748699167502000129,1521,4591
748692773788876800,1282,4100
748575535303884801,1909,5857
748568946752774144,647,2128
748346686624440324,1186,5043
748337862848962560,3932,7342
748324050481647620,724,3566
748307329658011649,683,3572
748220828303695873,7432,13646
747963614829678593,2050,5576
747933425676525569,2447,6389
747885874273214464,927,2824
747844099428986880,715,2721
747816857231626240,1113,4674
747651430853525504,147,1321
747648653817413632,5576,12434
747600769478692864,540,2252
747594051852075008,1001,3544
747512671126323200,1544,5327
747461612269887489,1001,3735
747439450712596480,1835,5227
747242308580548608,2774,0
747219827526344708,1495,5076
747204161125646336,869,3238
747103485104099331,3792,9199
746906459439529985,283,2795
746872823977771008,2043,5780
746818907684614144,1669,5127
746790600704425984,1529,4701
746757706116112384,3742,9212
746726898085036033,1718,5836
746542875601690625,1815,4864
746521445350707200,938,0
746507379341139972,1039,4489
746369468511756288,1560,5990
746131877086527488,2097,6646
746056683365994496,780,3454
745789745784041472,1016,3850
745712589599014916,2222,6748
745433870967832576,2437,6803
745422732645535745,2312,8254
745314880350101504,2621,6884
745074613265149952,3335,7550
745057283344719872,2148,6977
744995568523612160,588,2857
744971049620602880,2563,7590
744709971296780288,1496,5396
744334592493166593,2008,6513
744234799360020481,74154,150298
744223424764059648,345,1593
743980027717509120,1049,4024
743895849529389061,926,3522
743835915802583040,1974,0
743609206067040256,1330,4306
743595368194129920,6227,17654
743545585370791937,902,3404
743510151680958465,3559,7640
743253157753532416,1171,4081
743222593470234624,1831,5974
743210557239623680,1308,3695
742534281772302336,3418,6799
742528092657332225,1871,4253
742465774154047488,3748,6982
742423170473463808,3566,9453
742385895052087300,1872,6545
742161199639494656,1302,4141
742150209887731712,1473,4905
741793263812808706,1436,4380
741743634094141440,2615,7856
741438259667034112,779,3555
741303864243200000,3063,8442
741099773336379392,5266,9607
741067306818797568,2944,9179
740995100998766593,2587,6095
740711788199743490,900,3265
740699697422163968,745,2738
740676976021798912,6506,17441
740373189193256964,12696,33686
740365076218183684,409,2360
740359016048689152,822,3158
740214038584557568,1871,6424
739979191639244800,5636,19184
739932936087216128,1030,3901
739844404073074688,818,3654
739623569819336705,1297,3615
739606147276148736,1579,5191
739544079319588864,20185,37874
739485634323156992,2780,6850
739238157791694849,55258,111181
738891149612572673,6,100
738885046782832640,1093,3626
738883359779196928,754,3166
738537504001953792,1463,4880
738402415918125056,785,3133
738184450748633089,1158,4143
738166403467907072,3177,8403
738156290900254721,613,2399
737826014890496000,1687,5047
737800304142471168,3305,9599
737678689543020544,1253,4825
737445876994609152,4235,9820
737322739594330112,772,3454
737310737551491075,7058,14045
736736130620620800,1635,4065
736392552031657984,6986,16978
736365877722001409,1181,3822
736225175608430592,2658,7769
736010884653420544,2818,7556
735991953473572864,1089,3434
735648611367784448,1049,3885
735635087207878657,2244,5918
735274964362878976,4773,12507
735256018284875776,839,3194
735137028879360001,926,2998
734912297295085568,506,2641
734787690684657664,5991,12015
734776360183431168,509,2402
734559631394082816,376,1431
733828123016450049,746,3429
733822306246479872,975,3523
733482008106668032,901,2988
733460102733135873,1205,4009
733109485275860992,16256,51201
732732193018155009,509,2328
732726085725589504,848,3413
732585889486888962,745,3500
732375214819057664,2385,7749
732005617171337216,5108,14238
731285275100512256,952,3356
731156023742988288,1207,3677
730924654643314689,1880,5886
